sku_id,date,quantity_demanded,is_promotion,month,day_of_week,is_weekend
SKU-00064,2023-01-01,202,0,1,6,1
SKU-00064,2023-01-02,1339,0,1,0,0
SKU-00064,2023-01-03,1520,0,1,1,0
SKU-00064,2023-01-04,2209,0,1,2,0
SKU-00064,2023-01-05,1862,0,1,3,0
SKU-00064,2023-01-06,1652,0,1,4,0
SKU-00064,2023-01-07,997,0,1,5,1
SKU-00064,2023-01-08,150,0,1,6,1
SKU-00064,2023-01-09,1511,0,1,0,0
SKU-00064,2023-01-10,1676,0,1,1,0
SKU-00064,2023-01-11,2036,0,1,2,0
SKU-00064,2023-01-12,1599,0,1,3,0
SKU-00064,2023-01-13,1783,0,1,4,0
SKU-00064,2023-01-14,783,0,1,5,1
SKU-00064,2023-01-15,188,0,1,6,1
SKU-00064,2023-01-16,2079,0,1,0,0
SKU-00064,2023-01-17,1702,0,1,1,0
SKU-00064,2023-01-18,1930,0,1,2,0
SKU-00064,2023-01-19,1227,0,1,3,0
SKU-00064,2023-01-20,1794,0,1,4,0
SKU-00064,2023-01-21,948,0,1,5,1
SKU-00064,2023-01-22,154,0,1,6,1
SKU-00064,2023-01-23,1832,0,1,0,0
SKU-00064,2023-01-24,1543,0,1,1,0
SKU-00064,2023-01-25,1944,0,1,2,0
SKU-00064,2023-01-26,1628,0,1,3,0
SKU-00064,2023-01-27,2220,0,1,4,0
SKU-00064,2023-01-28,1249,0,1,5,1
SKU-00064,2023-01-29,137,0,1,6,1
SKU-00064,2023-01-30,1306,0,1,0,0
SKU-00064,2023-01-31,1463,0,1,1,0
SKU-00064,2023-02-01,1383,0,2,2,0
SKU-00064,2023-02-02,1243,0,2,3,0
SKU-00064,2023-02-03,1732,0,2,4,0
SKU-00064,2023-02-04,622,0,2,5,1
SKU-00064,2023-02-05,108,0,2,6,1
SKU-00064,2023-02-06,981,0,2,0,0
SKU-00064,2023-02-07,1357,0,2,1,0
SKU-00064,2023-02-08,1328,0,2,2,0
SKU-00064,2023-02-09,950,0,2,3,0
SKU-00064,2023-02-10,1081,0,2,4,0
SKU-00064,2023-02-11,724,0,2,5,1
SKU-00064,2023-02-12,100,0,2,6,1
SKU-00064,2023-02-13,1198,0,2,0,0
SKU-00064,2023-02-14,1248,0,2,1,0
SKU-00064,2023-02-15,1268,0,2,2,0
SKU-00064,2023-02-16,1108,0,2,3,0
SKU-00064,2023-02-17,1248,0,2,4,0
SKU-00064,2023-02-18,759,0,2,5,1
SKU-00064,2023-02-19,128,0,2,6,1
SKU-00064,2023-02-20,1013,0,2,0,0
SKU-00064,2023-02-21,1417,0,2,1,0
SKU-00064,2023-02-22,1098,0,2,2,0
SKU-00064,2023-02-23,1007,0,2,3,0
SKU-00064,2023-02-24,1018,0,2,4,0
SKU-00064,2023-02-25,907,0,2,5,1
SKU-00064,2023-02-26,119,0,2,6,1
SKU-00064,2023-02-27,1265,0,2,0,0
SKU-00064,2023-02-28,1322,0,2,1,0
SKU-00064,2023-03-01,1397,0,3,2,0
SKU-00064,2023-03-02,1691,0,3,3,0
SKU-00064,2023-03-03,1093,0,3,4,0
SKU-00064,2023-03-04,692,0,3,5,1
SKU-00064,2023-03-05,111,0,3,6,1
SKU-00064,2023-03-06,976,0,3,0,0
SKU-00064,2023-03-07,1123,0,3,1,0
SKU-00064,2023-03-08,1336,0,3,2,0
SKU-00064,2023-03-09,1106,0,3,3,0
SKU-00064,2023-03-10,1228,0,3,4,0
SKU-00064,2023-03-11,719,0,3,5,1
SKU-00064,2023-03-12,135,0,3,6,1
SKU-00064,2023-03-13,1376,0,3,0,0
SKU-00064,2023-03-14,932,0,3,1,0
SKU-00064,2023-03-15,1018,0,3,2,0
SKU-00064,2023-03-16,1032,0,3,3,0
SKU-00064,2023-03-17,1319,0,3,4,0
SKU-00064,2023-03-18,791,0,3,5,1
SKU-00064,2023-03-19,129,0,3,6,1
SKU-00064,2023-03-20,1252,0,3,0,0
SKU-00064,2023-03-21,1245,0,3,1,0
SKU-00064,2023-03-22,1192,0,3,2,0
SKU-00064,2023-03-23,924,0,3,3,0
SKU-00064,2023-03-24,1298,0,3,4,0
SKU-00064,2023-03-25,823,0,3,5,1
SKU-00064,2023-03-26,104,0,3,6,1
SKU-00064,2023-03-27,1233,0,3,0,0
SKU-00064,2023-03-28,1270,0,3,1,0
SKU-00064,2023-03-29,1187,0,3,2,0
SKU-00064,2023-03-30,1097,0,3,3,0
SKU-00064,2023-03-31,1187,0,3,4,0
SKU-00064,2023-04-01,679,0,4,5,1
SKU-00064,2023-04-02,124,0,4,6,1
SKU-00064,2023-04-03,1191,0,4,0,0
SKU-00064,2023-04-04,1037,0,4,1,0
SKU-00064,2023-04-05,1314,0,4,2,0
